"actual_city_town","week","year","ncoh","zscore"
"Sturbridge",40,2015,0.000450625869262865,-0.128891274478569
"Sturbridge",40,2016,0.00302642559109875,-0.108352101894203
"Sturbridge",40,2017,0.0148817802503477,-0.0138186747294423
"Sturbridge",40,2018,0.00297913769123783,-0.108729170937328
"Sturbridge",41,2018,0.001557719054242,-0.120063422763042
"Sturbridge",43,2017,0.00253129346314325,-0.112300236581046
"Sturbridge",43,2018,0.00321279554937413,-0.106866006253649
"Sturbridge",44,2015,0.00490403337969402,-0.093380242828925
"Sturbridge",44,2016,0.000372739916550765,-0.129512329373128
"Sturbridge",44,2018,0.00208344923504868,-0.115871302224764
"Sturbridge",45,2013,0.00122392211404729,-0.122725086596869
"Sturbridge",45,2015,0.00142420027816412,-0.121128088296573
"Sturbridge",45,2016,0.00062586926286509,-0.127493900965809
"Sturbridge",46,2013,0.00510987482614743,-0.0917388834647316
"Sturbridge",46,2018,0.000350486787204451,-0.129689773628717
"Sturbridge",47,2016,0.00106815020862309,-0.123967196385988
"Sturbridge",49,2015,0.00133518776077886,-0.121837865318927
"Sturbridge",50,2016,0.00226981919332406,-0.114385206584211
"Sturbridge",50,2017,0.00157997218358832,-0.119885978507454
"Sturbridge",53,2015,0.0027260083449235,-0.110747599344647
"Sudbury",1,2018,0.00237922895357986,-0.113512783961731
"Sudbury",8,2018,0.000591660110149489,-0.127766681370914
"Sudbury",10,2018,0.00307002360346184,-0.108004455649555
"Sudbury",20,2015,0.000769472856018883,-0.126348820096937
"Sudbury",21,2017,0.000873328088119591,-0.125520688733375
"Sudbury",22,2017,0.0154885916601101,-0.00898002047941771
"Sudbury",24,2017,0.000289535798583792,-0.130175790792184
"Sudbury",27,2013,0.00989771833202203,-0.0535610922178233
"Sudbury",27,2017,0.0214933123524784,0.0389010292683324
"Sudbury",28,2014,0.0676538158929976,0.40698032548171
"Sudbury",30,2017,0.00373406766325728,-0.102709433900721
"Sudbury",31,2014,0.000272226593233674,-0.130313812686111
"Sudbury",31,2017,0.000503540519276161,-0.128469338285451
"Sudbury",33,2015,0.0113139260424862,-0.0422683918056181
"Sudbury",34,2017,0.00115656963021243,-0.123262148650934
"Sudbury",39,2017,0.00138788355625492,-0.121417674250274
"Sudbury",42,2015,0.00308418568056648,-0.107891528645433
"Sudbury",42,2017,0.000575924468922109,-0.127892155819938
"Sudbury",44,2013,0.0263430369787569,0.0775722544576839
"Sudbury",44,2015,0.00310621557828481,-0.107715864416799
"Sudbury",46,2015,0.0044846577498033,-0.0967243026822521
