"actual_city_town","year","season","week","saidi","date","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14"
"Brockton",2017,"fall",46,0.016531392853811,2017-11-13,-2.04458407425673,-3.02693961555883,-0.886200618861188,-1.412667373961,0.0784928143135281,0.0656106232735574,0.239522628031011,-0.0846552881900594,0.822755060279093,0.158421586468239,0.415156391992779,0.0128652524292587,0.196951454519384,0.171812860249857
"Brockton",2018,"fall",46,0.156432503031999,2018-11-12,-2.06347379562622,-2.84718925589944,-0.543491603352595,-1.4655349725107,-0.159373313565075,0.039251471367521,0.216233781950004,-0.0872322059561271,0.500636855610303,0.448101913148861,0.456157857489355,0.0245027721739961,0.140899203444178,0.207498087791351
"Brockton",2015,"fall",47,0.00776191808937401,2015-11-23,-2.75270707813939,-2.49140367395799,-1.05650111356883,-1.07635172862802,-0.436821830027955,-0.00399855732975385,0.290818166146525,-0.357711916829285,1.29803081220356,0.0279388112018806,-0.0308298667551707,0.154433410425566,0.0010084256487262,-0.0850150930603572
"Brockton",2017,"fall",47,0.0385856889635227,2017-11-20,-2.298181732206,-2.90513944899382,-1.14920401366119,-1.43344640048324,0.0318705702260295,0.0251276074818027,0.196689199160307,-0.10261171110774,0.81683523368435,0.294654339906983,0.154313539638492,0.101067212602472,0.112630966120664,0.230853331171506
"Amesbury",2018,"fall",46,0.0718552797644089,2018-11-12,-0.843471954600402,-0.0142647243296099,-1.0840405549445,-1.24693336664942,-0.104827711844991,-0.308343383476594,0.414928986990407,0.441764564616242,-0.852485318432445,0.129366533765123,0.63045616151468,0.698455362399557,-0.141108012702769,0.433454354330236
"Brockton",2018,"fall",47,0.0378953260565351,2018-11-19,-2.28773534395624,-2.75426246445198,-0.821742315092172,-1.50077334337782,-0.213545225843115,0.00183073714922328,0.197659053631695,-0.131880875574744,0.510818486496094,0.577966916007605,0.225413627693488,0.0719417598685343,0.0349781348051089,0.25383090784597
"Brockton",2013,"winter",48,0.122194234536804,2013-12-02,-2.86616246083317,-2.38308549774433,-1.32874191623508,-0.878166306728525,-0.372815061785448,-0.191369506379387,0.22095365005644,-0.387394196117533,1.38007543357395,-0.0563875291267007,-0.141743479391686,0.333490253590349,-0.0572597630677274,-0.139068474490474
"Brockton",2015,"fall",48,0.00149267655564885,2015-11-30,-2.8450220047333,-2.44943039142781,-1.08659368791065,-1.07717071163408,-0.381698363499093,-0.11144654037281,0.244823079304195,-0.441591250682497,1.23505680150028,0.0240104148853423,-0.0864594174601995,0.198205109830414,-0.028884709064868,-0.0469848699023254
"Brockton",2017,"winter",49,0.418285287806698,2017-12-04,-2.45842997152922,-2.72432924287901,-1.17689159405309,-1.41950743762654,0.143737756531219,-0.0186122958987401,0.11051319989843,-0.188274998386214,0.712252600244498,0.330783585891518,0.0669416054634318,0.177981011463705,0.152788459840126,0.249697638469256
"Brockton",2018,"winter",49,0.00925459464502286,2018-12-03,-2.44576728402107,-2.60247037538139,-0.863223333412206,-1.46010414691565,-0.0950030969282939,-0.0508191134434436,0.0558535679109705,-0.201424584285175,0.400565906358218,0.615874369559571,0.161664975040539,0.156837787657755,0.0669816079017594,0.269283982080128
"Brockton",2017,"winter",50,0.0278011008489598,2017-12-11,-2.49169372207778,-2.73111992847588,-1.23089759630013,-1.40150771181985,0.115714948659005,-0.0262770755520853,0.104394703309329,-0.201943050418906,0.663614502776384,0.442496035861754,0.056656571459364,0.18528105082282,0.150844453719351,0.222493726094896
"Brockton",2018,"winter",50,0.0480455266349473,2018-12-10,-2.46330271543402,-2.59463283083882,-0.932030741026503,-1.45770191295405,-0.119231996676882,-0.0643458589029507,0.0394678476979257,-0.204132620162216,0.368763289146226,0.711138984732458,0.134292358757345,0.16083737268746,0.0764836889603012,0.243109853321567
"Brockton",2015,"winter",51,0.224965015393227,2015-12-21,-2.95980992801562,-2.41368428348478,-1.14244310292453,-1.01359364851554,-0.528376046067235,-0.142272055070141,0.243072742845397,-0.511684528005141,1.14573519664732,0.283975677848226,-0.140235743981972,0.16294155063469,-0.0181013300232946,0.0181312459495557
"Brockton",2016,"winter",51,0.0154492023509656,2016-12-19,-2.59214054501715,-2.85288917142878,-1.38657167371053,-1.34659891254553,-0.0319155962906834,-0.0669984430166405,0.185091925038643,-0.247533837054095,0.641625361760821,0.529044084124381,-0.0540573628448552,0.113052589505598,-0.000747635507547043,0.3317546153546
"Brockton",2013,"winter",52,0.0208228379513014,2013-12-30,-2.93524021054423,-2.19520886028176,-1.43007217852744,-0.847785434339405,-0.390808555328367,-0.25943295720929,0.223422761949285,-0.522415320047656,1.34375985456703,0.132411628250941,-0.188358490755505,0.300007751056135,-0.0632889121227145,-0.0548674727858416
"Amesbury",2013,"winter",48,0.0954143878838872,2013-12-02,-1.19146673130622,-0.268609212531177,-1.64953617484233,-0.219152626388146,0.638124571221055,-0.0113821963609955,0.710706332996046,0.760513652134477,-0.58872637730945,-0.115553213223157,0.292613038652748,0.817115791347473,-0.103645320831692,0.622081851884265
"Brockton",2015,"winter",52,7.56117175109618,2015-12-28,-2.90475402890217,-2.24559781325151,-1.18401794933661,-1.05853152967554,-0.363161221161462,-0.139487001443186,0.225238397492523,-0.554405544248407,1.18832873275318,0.299687050760122,-0.111168947135081,0.15295556222311,-0.0406706622958033,0.0355639057993243
"Brockton",2018,"winter",52,0.230077432596324,2018-12-24,-2.44938612633585,-2.41997302366134,-0.988269840868853,-1.48461963174437,-0.119714231079737,-0.129727355484053,0.0205576043671289,-0.273912362170398,0.351884534546543,0.843731273116799,0.0893386516048957,0.12502911021455,-0.0555449824762094,0.338176143157239
"Brockton",2018,"winter",53,0.153465808377647,2018-12-31,-2.26179865299755,-2.17734837758196,-1.07447173322276,-1.47864785983633,-0.0218179177766369,-0.258916144740698,0.0586683146947894,-0.327007061773753,0.258208697730231,0.722354727114355,0.131293638399344,0.15615027316569,-0.0764444032600807,0.29219971673576
"Brookfield",2017,"summer",28,0.824130879345603,2017-07-10,1.41594755617985,0.722096025907173,0.707860920390164,0.0543889677906161,1.30512394329868,-0.255959044547984,-0.139789571559761,-0.220767783080495,0.42750155352792,0.29436479870892,0.822362410739162,0.882185220628694,0.901357420058598,-0.47410526147425
"Brookfield",2016,"fall",42,0.547648261758691,2016-10-17,-0.201047582203466,1.43825187523107,-1.26936661577407,-0.371014347208462,0.587989384019904,-0.830834596110762,-0.0123491690675861,0.198235971658853,-1.08892954080403,-0.658324186007768,0.654306839179387,1.3311001361762,0.323248646849165,0.260807126730816
"Brookfield",2017,"fall",42,0.0940695296523517,2017-10-16,-0.201676370817389,1.39237173665304,-1.17622220780345,-0.39862174170473,0.583969317138267,-0.880288032311146,-0.0202364208605604,0.0919168977315549,-1.1499468360706,-0.51192953221188,0.673246070297666,1.27425842140553,0.339944145792303,0.239435670112896
"Brookfield",2017,"fall",43,0.0768916155419223,2017-10-23,-0.259614139054222,1.24122421481832,-1.04611241701591,-0.328013220695574,0.407257658668561,-0.970580497511849,0.0587108668310477,0.188886632407219,-1.38118782973686,-0.615598666569986,0.701044336539179,1.24563572493565,0.324306245832746,0.259612953858523
"Brookfield",2013,"fall",46,0.539877300613497,2013-11-18,0.11643189099193,1.37092933365493,-1.90410138335309,0.831746478021506,1.2041492789491,-0.877447570029495,0.597729156745093,0.185559248162401,-0.501670075534307,-0.923384893175463,0.794574764005444,0.724523441335958,-0.532814854984042,0.505160722325863
"Brookfield",2015,"fall",46,0.0965235173824131,2015-11-16,-0.313431953818074,1.27587325730332,-1.38457688543224,0.492589930359557,1.11599811258183,-0.882768518670954,0.0234453509605402,0.101827207407107,-0.938074874734509,-0.715104020767589,0.667926297689761,0.715585080807092,-0.39849064449798,0.42951516043861
"Brookfield",2015,"fall",48,0.179959100204499,2015-11-30,-0.663612069689116,1.28116198224826,-1.37340179451307,0.456260994006575,1.02947910100311,-0.92354292512166,-0.0840249510078286,0.024299319685224,-0.916180501448703,-0.625807746495214,0.465973349006633,0.701269208721824,-0.460478124311782,0.417051821145175
"Amesbury",2018,"winter",50,0.309213294068153,2018-12-10,-1.24407820120595,-0.121571312146002,-1.12596965040189,-1.1786291868506,-0.225634277240049,-0.299080095333684,0.40599471684209,0.451607097145811,-0.869419157467931,0.298716794394957,0.54948594388025,0.707746469477458,-0.286587977412944,0.509208885256458
"Brookline",2015,"spring",10,0.0765983456256876,2015-03-09,-2.32832746321076,-3.79727758812105,-0.367993358426108,-0.856505290399998,-0.482741301360789,-1.103400067501,1.01376314652374,-1.3920888976093,0.367118510134392,0.0919280490254128,-0.216362982306279,-0.434281574381646,-0.435308994217915,-0.5016504241447
"Brookline",2015,"spring",16,0.146717737663502,2015-04-20,-1.38034915395018,-3.48862928110444,0.0302116905455202,-1.02393901318129,-0.607230587773939,-1.52861549543559,0.887190186557059,-2.24750290296562,0.216188355627294,-0.11225367648001,-1.3079200334629,0.306434485607725,-0.521261174458883,-0.656756522583789
"Brookline",2013,"spring",18,3.05576789861864,2013-05-06,-1.06985286544771,-3.03781030707596,-0.397418500726936,-0.751525606637724,-0.314320644322234,-1.78861584882517,0.621565441605112,-1.94079336685915,0.136982586352874,-0.301977903770117,-1.15154799199253,-0.069301547763603,-0.486537732002242,-0.671866377693902
"Brookline",2014,"spring",20,0.0136913736196569,2014-05-19,-1.10569979763123,-2.94526769223148,-0.655646076674768,-0.954477256117113,-0.809816423188167,-1.80547500703528,0.734721395509922,-2.13284630384204,0.0863935639045563,-0.279746288560477,-1.44861103019811,-0.269086644577071,-0.340198941216481,-0.769325296964192
"Brookline",2015,"summer",22,0.185811499123915,2015-06-01,-1.32558320946304,-3.10504257066631,-0.769894409407715,-1.01994229437553,-0.83954875677373,-1.36671580648479,0.845759839328796,-2.31825677855684,0.127429143800052,-0.261091865899704,-1.44469615884283,-0.615244011706652,-0.595257925053193,-0.60485184662464
"Brookline",2013,"summer",23,0.00557434497371745,2013-06-10,-1.15318221847352,-3.0331325525213,-0.778149189244787,-0.798623983294028,-0.676399012753771,-1.66007653085574,0.572006460179789,-1.92854276096,0.223612433657617,-0.356957092837651,-1.2131354565368,-0.589336932329654,-0.498959599164838,-0.706184631093235
"Brookline",2013,"summer",24,0.00400961656004238,2013-06-17,-1.2647379689962,-3.09813363074722,-0.812209722317943,-0.82202403780997,-0.752075973006846,-1.60827796747349,0.592527470467159,-1.9743346533964,0.222836462047273,-0.310583504929281,-1.19540317725077,-0.657469633708772,-0.493576364298541,-0.742255058617222
"Brookline",2014,"summer",24,0.698064463550792,2014-06-16,-1.43667577559288,-3.23661142503367,-0.815063527705164,-1.00749883583276,-1.04600505047704,-1.57617661252156,0.798132309222205,-2.1843582932603,0.175437823988461,-0.124119711297023,-1.35650710774257,-0.594793336581214,-0.462625631424736,-0.807949073071121
